comName,count
Paloma doméstica,1308
Diucón,1308
Yeco,1308
Paloma de alas blancas,1308
Diuca común,1308
Pato jergón chico,1308
Gorrión,1308
Golondrina chilena,1308
Tordo,1308
Churrete patagónico,1308
Loica común,1308
Cachudito común,1308
Garza chica,1308
Jilguero austral,1308
Jote de cabeza colorada,1308
Pelícano de Humboldt,1308
Pato jergón grande,1308
Chirihue común,1308
Garza grande,1308
Jote de cabeza negra,1308
Picaflor chico,1308
Tórtola,1308
Gaviota dominicana,1308
Tiuque,1308
Cotorra,1308
Bandurria común,1308
Queltehue común,1308
Zorzal patagónico,1308
Chincol,1308
Tijeral común,1308
Chercán común,1308
Gaviota cáhuil,1308
Rara,1308
Tenca chilena,1308
Rayadito,1308
Tagua común,1308
Pilpilén común,1308
Cernícalo,1308
Huairavo común,1307
Aguilucho común,1306
Pitío austral,1306
Traro,1306
Tortolita cuyana,1306
Cometocino patagónico,1306
Zarapito común,1306
Carpinterito,1306
Pato real,1306
Torcaza,1305
Peuco,1305
Cisne de cuello negro,1304
Trile,1304
Pato colorado,1304
Mirlo común,1303
Cormorán imperial,1303
Codorniz,1302
Cisne coscoroba,1299
Piquero de Humboldt,1299
Pimpollo común,1299
Gaviota garuma,1298
Huala,1298
Cometocino de Gay,1297
Perrito,1294
Choroy,1294
Chucao,1293
Tagua de frente roja,1292
Pilpilén negro,1292
Colegial austral,1292
Pidén común,1292
Churrete acanelado,1289
Cachaña,1285
Trabajador,1282
Garza cuca,1282
Águila,1281
Chuncho austral,1280
Garza bueyera,1280
Picurio,1280
Tagua chica,1278
Siete colores,1278
Caiquén,1276
Yal común,1276
Turca,1272
Bailarín,1271
Churrín del sur,1265
Tagüita común,1263
Lile,1263
Pato juarjual,1252
Colilarga,1250
Martín pescador,1248
Bailarín chico común,1248
Cóndor,1244
Pato cuchara,1242
Blanquillo,1240
Rayador,1239
Picaflor del norte,1237
Pato rana de pico delgado,1232
Churrín del norte,1227
Churrete chico,1225
Comesebo grande,1211
Pitotoy grande,1210
Canastero chileno,1206
Flamenco chileno,1203
Chercán de las vegas,1195
Pequén,1191
Gaviotín sudamericano,1188
Gaviotín monja,1188
Gaviota austral,1186
Quetru no volador,1185
Churrete costero,1179
Becacina común,1175
Perdiz chilena,1170
Hued-hued del sur,1168
Pitotoy chico,1161
Quetru volador,1159
Guanay,1159
Dormilona tontita,1155
Churrín de la Mocha,1144
Cuervo de pantano común,1138
Cormorán de las rocas,1133
Golondrina de dorso negro,1132
Zarapito de pico recto,1125
Gaviotín piquerito,1120
Viudita,1116
Halcón peregrino,1114
Petrel gigante antártico,1108
Canquén común,1108
Vari ceniciento,1107
Gaviota peruana,1106
Chorlo de collar,1100
Platero,1097
Albatros de ceja negra,1081
Playero vuelvepiedras,1079
Gaviota andina,1077
Chorlo chileno,1077
Fardela negra,1062
Lechuza,1054
Pato gargantillo,1051
Pilpilén austral,1046
Halcón perdiguero,1041
Mero grande,994
Fío-fío,974
Pingüino de Magallanes,973
Tapaculo,971
Playero blanco,966
Tucúquere,960
Tricahue,956
Playero de Baird,955
Minero común,955
Piuquén,952
Chorlo de doble collar,940
Mero gaucho,940
Picaflor gigante,938
Tortolita quiguagua,923
Pingüino de Humboldt,917
Carpintero negro,914
Minero cordillerano,912
Caranca,903
Pato anteojillo,898
Gaviota de Franklin,888
Suri/Ñandú,884
Gallina ciega común,875
Carancho cordillerano,870
Pizarrita,859
Tagüita del norte,857
Gaviotín elegante,849
Bandurrilla común,848
Nuco,825
Comesebo chico,818
Garza azul,810
Chorlo nevado,809
Salteador chileno,808
Pato capuchino,791
Chorlo ártico,779
Canastero chico,778
Tortolita cordillerana,778
Chirihue verdoso,768
Pájaro plomo,760
Perdicita chica,750
Peuquito,749
Dormilona de nuca rojiza,744
Petrel plateado austral,737
Huairavillo,736
Dormilona chica,732
Concón,728
Run-run,723
Cometocino del norte,697
Petrel de barba blanca,690
Paloma manchada,681
Pato de collar,677
Zorzal negro,674
Fardela blanca,673
Chiricoca,670
Chirihue azafrán,652
Playero de las rompientes,649
Pato rinconero,646
Playero grande,643
Golondrina bermeja,642
Petrel gigante subantártico,641
Tagua andina,637
Canastero del sur,634
Golondrina de mar de Wilson/fueguina,633
Loica peruana,629
Bandurrilla de los bosques,625
Saca-tu-real,614
Cuervo de pantano de la puna,612
Chorlo semipalmado,608
Hued-hued castaño,600
Pato cortacorrientes,597
Perdicita cojón,594
Parina grande,593
Canquén colorado,591
Playero de lomo blanco,586
Pato puna,574
Dormilona de ceja blanca,574
Churrete de alas cremas,570
Chirihue dorado,564
Yunco de Humboldt,559
Plebeyo,557
Chorlo de campo,551
Jilguero peruano,550
Yunco de Magallanes,533
Pollito de mar tricolor,512
Tagua gigante,503
Playero semipalmado,483
Colegial del norte,481
Caití,472
Jilguero cordillerano,471
Parina chica,471
Pato rana de pico ancho,470
Churrete de alas blancas,466
Aguilucho de cola rojiza,461
Dormilona fraile,461
Corbatita del norte,454
Chorlo gritón,453
Picaflor de la puna,447
Tortolita boliviana,443
Vencejo chico,437
Chorlo de la puna,433
Picaflor cordillerano,413
Minero chico,412
Minero de la puna,409
Dormilona rufa,396
Chorlo dorado,394
Picaflor de Cora,386
Canastero de cola larga,385
Aguilucho chico,383
Pidencito,374
Pato negro,368
Minero austral,366
Albatros de Salvin,364
Chorlo de Magallanes,351
Dormilona de la puna,350
Canastero del norte,345
Jilguero negro,344
Naranjero,336
Playero enano,336
Carancho de garganta blanca,335
Yal cordillerano,333
Perico cordillerano,330
Gaviotín chico,328
Albatros real del sur,326
Dormilona de frente negra,324
Tagua cornuda,321
Chirihue cordillerano,317
Golondrina de los riscos,314
Bandurrilla de pico recto,306
Playero ártico,302
Tortolita de la puna,301
Cachudito del norte,300
Chirihue austral,299
Petrel de Westland,297
Semillero,296
Chorlo cabezón,295
Minero grande,288
Tijeral listado,282
Comesebo de los tamarugales,279
Pingüino rey,275
Mirlo de pico corto,275
Dormilona gigante,265
Albatros de cabeza gris,264
Petrel damero,264
Albatros real del norte,261
Mero de Tarapacá,261
Playero manchado,260
Golondrina de mar negra,258
Salteador chico,246
Chorlito cordillerano,242
Tenca de alas blancas,237
Diuca de alas blancas,236
Pitío del norte,235
