speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
soulap1,Queltehue común,Vanellus chilensis,L10146360,Placilla Océano Antártico,2023-01-01 22:45,1.0,-33.4843024,-70.5464448,True,False,False,S125139170,
rocpig,Paloma doméstica,Columba livia,L4777617,Osorno,2023-01-01 22:18,2.0,-40.5724194,-73.1359863,True,False,False,S125137397,N
bkfibi1,Bandurria común,Theristicus melanopis,L4777617,Osorno,2023-01-01 22:18,3.0,-40.5724194,-73.1359863,True,False,False,S125137397,
chicar1,Tiuque,Daptrius chimango,L4777617,Osorno,2023-01-01 22:18,2.0,-40.5724194,-73.1359863,True,False,False,S125137397,
slbpar1,Choroy,Enicognathus leptorhynchus,L4777617,Osorno,2023-01-01 22:18,1.0,-40.5724194,-73.1359863,True,False,False,S125137397,
brnowl,Lechuza,Tyto furcata,L22015757,San Gregorio - Nancagua,2023-01-01 21:55,5.0,-34.6536982,-71.2510433,True,False,True,S125135964,
sheowl,Nuco,Asio flammeus,L886042,Predio La Platina,2023-01-01 21:53,1.0,-33.5726872,-70.6210613,True,True,False,S148810562,
yebtea1,Pato jergón chico,Anas flavirostris,L22016281,"5 AVENIDA ESPAÑA, Yerbas Buenas, Maule, CL (-35.744, -71.579)",2023-01-01 21:41,1.0,-35.7441846,-71.5793169,True,False,True,S125134062,
bcnher,Huairavo común,Nycticorax nycticorax,L22016281,"5 AVENIDA ESPAÑA, Yerbas Buenas, Maule, CL (-35.744, -71.579)",2023-01-01 21:41,3.0,-35.7441846,-71.5793169,True,False,True,S125134062,
bawnig1,Gallina ciega común,Systellura longirostris,L22020564,"Ruta F-864-G, Casablanca CL-Valparaíso (-33.2727,-71.2280)",2023-01-01 21:40,3.0,-33.272745,-71.227991,True,False,True,S125158406,
aupowl1,Chuncho austral,Glaucidium nana,L22020564,"Ruta F-864-G, Casablanca CL-Valparaíso (-33.2727,-71.2280)",2023-01-01 21:40,2.0,-33.272745,-71.227991,True,False,True,S125158406,
saffin,Chirihue azafrán,Sicalis flaveola,L22015875,"N° 711 Vicente Pérez Rosales, Llanquihue, Los Lagos, CL (-41.264, -73.002)",2023-01-01 21:21,1.0,-41.2639485,-73.001929,True,False,True,S125131695,
lotmea1,Loica común,Leistes loyca,L22015768,"V-40, Llanquihue, Los Lagos, CL (-41.275, -73.05)",2023-01-01 21:09,2.0,-41.2748081,-73.0503256,True,False,True,S125131578,
tuttyr1,Cachudito común,Anairetes parulus,L21560222,"4493 Los Exportadores, Puente Alto, Región Metropolitana, CL (-33.559, -70.557)",2023-01-01 21:06,1.0,-33.5592625,-70.5566175,True,False,True,S125132430,
austhr1,Zorzal patagónico,Turdus falcklandii,L21560222,"4493 Los Exportadores, Puente Alto, Región Metropolitana, CL (-33.559, -70.557)",2023-01-01 21:06,1.0,-33.5592625,-70.5566175,True,False,True,S125132430,
ameoys,Pilpilén común,Haematopus palliatus,L22016109,"Pacific Ocean, Licantén CL-Maule -34.92041, -72.18249",2023-01-01 20:50,8.0,-34.920411,-72.182487,True,False,True,S125133048,
magoys1,Pilpilén austral,Haematopus leucopodus,L13757486,Ex Chipera costanera,2023-01-01 20:50,2.0,-53.1299143,-70.8542457,True,False,False,S125134572,
twbplo1,Chorlo de doble collar,Anarhynchus falklandicus,L13757486,Ex Chipera costanera,2023-01-01 20:50,1.0,-53.1299143,-70.8542457,True,False,False,S125134572,
chisku1,Salteador chileno,Stercorarius chilensis,L13757486,Ex Chipera costanera,2023-01-01 20:50,25.0,-53.1299143,-70.8542457,True,False,False,S125134572,
brhgul2,Gaviota cáhuil,Chroicocephalus maculipennis,L22016109,"Pacific Ocean, Licantén CL-Maule -34.92041, -72.18249",2023-01-01 20:50,15.0,-34.920411,-72.182487,True,False,True,S125133048,
dolgul2,Gaviota austral,Leucophaeus scoresbii,L13757486,Ex Chipera costanera,2023-01-01 20:50,40.0,-53.1299143,-70.8542457,True,False,False,S125134572,
kelgul,Gaviota dominicana,Larus dominicanus,L13757486,Ex Chipera costanera,2023-01-01 20:50,150.0,-53.1299143,-70.8542457,True,False,False,S125134572,
soater1,Gaviotín sudamericano,Sterna hirundinacea,L22016109,"Pacific Ocean, Licantén CL-Maule -34.92041, -72.18249",2023-01-01 20:50,4.0,-34.920411,-72.182487,True,False,True,S125133048,
angpet1,Petrel gigante antártico,Macronectes giganteus,L13757486,Ex Chipera costanera,2023-01-01 20:50,2.0,-53.1299143,-70.8542457,True,False,False,S125134572,
impcor1,Cormorán imperial,Leucocarbo atriceps,L13757486,Ex Chipera costanera,2023-01-01 20:50,450.0,-53.1299143,-70.8542457,True,False,False,S125134572,
perpel1,Pelícano de Humboldt,Pelecanus thagus,L22016109,"Pacific Ocean, Licantén CL-Maule -34.92041, -72.18249",2023-01-01 20:50,30.0,-34.920411,-72.182487,True,False,True,S125133048,
ausneg1,Colegial austral,Lessonia rufa,L13757486,Ex Chipera costanera,2023-01-01 20:50,8.0,-53.1299143,-70.8542457,True,False,False,S125134572,
pigdov1,Tortolita cuyana,Columbina picui,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,3.0,-34.6536982,-71.2510433,True,False,True,S125130966,
amekes,Cernícalo,Falco sparverius,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,5.0,-34.6536982,-71.2510433,True,False,True,S125130966,
whcela1,Fío-fío,Elaenia albiceps,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,3.0,-34.6536982,-71.2510433,True,False,True,S125130966,
chiswa1,Golondrina chilena,Tachycineta leucopyga,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,10.0,-34.6536982,-71.2510433,True,False,True,S125130966,
houspa,Gorrión,Passer domesticus,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,11.0,-34.6536982,-71.2510433,True,False,True,S125130966,N
shicow,Mirlo común,Molothrus bonariensis,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,2.0,-34.6536982,-71.2510433,True,False,True,S125130966,
ausbla1,Tordo,Curaeus curaeus,L22015757,San Gregorio - Nancagua,2023-01-01 20:47,8.0,-34.6536982,-71.2510433,True,False,True,S125130966,
wepdov1,Paloma de alas blancas,Zenaida meloda,L22015377,"Autopista Los Libertadores, San Miguel, Valparaíso, CL (-32.84, -70.539)",2023-01-01 20:46,1.0,-32.8402742,-70.5385615,True,False,True,S125128796,
chimoc1,Tenca chilena,Mimus thenca,L22015377,"Autopista Los Libertadores, San Miguel, Valparaíso, CL (-32.84, -70.539)",2023-01-01 20:46,1.0,-32.8402742,-70.5385615,True,False,True,S125128796,
blkvul,Jote de cabeza negra,Coragyps atratus,L807764,Las Quemas Altas,2023-01-01 20:45,3.0,-40.6284479,-73.117919,True,False,False,S125138125,
chifli1,Pitío austral,Colaptes pitius,L807764,Las Quemas Altas,2023-01-01 20:45,1.0,-40.6284479,-73.117919,True,False,False,S125138125,
houwre4,Chercán común,Troglodytes musculus,L807764,Las Quemas Altas,2023-01-01 20:45,1.0,-40.6284479,-73.117919,True,False,False,S125138125,
blcsis2,Jilguero austral,Spinus barbatus,L807764,Las Quemas Altas,2023-01-01 20:45,1.0,-40.6284479,-73.117919,True,False,False,S125138125,
gryfin1,Chirihue común,Sicalis luteola,L807764,Las Quemas Altas,2023-01-01 20:45,4.0,-40.6284479,-73.117919,True,False,False,S125138125,
uplgoo1,Caiquén,Chloephaga picta,L7988120,"Leñadura, Nuestra casa",2023-01-01 20:38,6.0,-53.2145727,-70.9476647,True,False,True,S125134324,
flistd1,Quetru no volador,Tachyeres pteneres,L13254081,"Ruta 9 S: Punta Arenas - Fuerte Bulnes - San Juan - Río San Pedro, Punta Arenas CL-Magallanes y La Antártica Chilena -53.26588, -70.94587",2023-01-01 20:30,4.0,-53.265878,-70.945872,True,False,True,S125132539,
creduc1,Pato juarjual,Lophonetta specularioides,L13254081,"Ruta 9 S: Punta Arenas - Fuerte Bulnes - San Juan - Río San Pedro, Punta Arenas CL-Magallanes y La Antártica Chilena -53.26588, -70.94587",2023-01-01 20:30,6.0,-53.265878,-70.945872,True,False,True,S125132539,
chiwig1,Pato real,Mareca sibilatrix,L13254081,"Ruta 9 S: Punta Arenas - Fuerte Bulnes - San Juan - Río San Pedro, Punta Arenas CL-Magallanes y La Antártica Chilena -53.26588, -70.94587",2023-01-01 20:30,10.0,-53.265878,-70.945872,True,False,True,S125132539,
